feature,score
8731,1
3572,3
118,1
115,1
116,4
117,1
110,2
111,11
112,9
113,2
7831,1
5764,2
3570,1
5766,1
5760,1
5769,1
8300,2
8301,2
8302,2
8303,9
8304,4
8305,4
8306,5
8307,1
8308,3
8309,2
4143,5
4140,6
9314,2
4147,3
9316,3
4145,5
9318,6
9534,1
4148,8
4815,4
9537,3
3888,25
3889,1
3886,5
3887,7
3884,4
3885,3
3882,4
3883,1
3880,11
3881,10
3084,3
3083,7
11662,6
11663,4
11661,2
11666,6
2938,2
2429,1
11665,1
2935,1
2426,4
11668,5
2936,6
2423,2
2422,1
2420,6
3338,1
3335,1
3336,3
3337,2
3331,1
3332,2
3333,1
2689,3
2688,1
2683,1
2682,3
2681,1
2680,1
2687,7
2686,4
2685,2
2684,3
6302,7
6301,5
6307,1
6308,1
6309,5
11082,1
11083,2
11088,3
12218,1
12216,2
12215,4
12210,16
12211,2
8685,4
8684,2
8687,1
8686,7
969,4
8680,1
8683,1
8682,7
8689,8
8688,3
13,1
4960,2
4961,2
4962,11
4963,1
4964,5
4965,1
4966,1
4967,1
4968,2
4969,3
40,1
42,1
44,5
47,1
11766,1
1307,2
1657,1
1651,1
1653,2
7433,1
7432,15
7437,1
7435,2
7439,2
6596,7
2527,1
2525,5
855,6
854,7
857,3
856,4
11769,1
853,1
11768,1
859,2
858,3
583,4
581,2
580,2
587,1
586,1
5158,8
5159,3
5156,2
594,1
589,1
588,1
5152,5
5153,5
5150,4
5151,4
4689,1
4688,3
10108,1
10109,1
10458,1
3653,4
3652,7
3651,2
4682,1
10452,2
10101,7
4687,7
10103,1
1879,4
1875,1
1877,6
1876,2
5480,1
5482,4
5483,3
5488,1
5489,1
5378,2
5379,1
5372,1
5373,9
5370,3
5371,1
5377,1
5374,3
5375,2
3215,1
327,3
325,12
324,2
323,2
322,3
321,19
320,21
329,5
328,17
10139,1
8953,1
6676,1
11275,3
11277,2
11276,1
11270,1
11273,5
8515,1
8514,2
8516,1
8510,3
8519,2
6905,3
4425,5
4424,2
4427,1
4426,2
4421,2
4352,4
3431,1
4422,3
4429,1
4428,3
4359,1
4358,1
2746,3
2744,2
2745,3
2214,6
2743,2
2740,4
2217,3
2219,1
11419,1
11411,9
11415,4
11417,3
11416,21
8478,2
8479,5
8476,7
8477,1
8475,6
8473,2
11499,7
4146,2
2295,1
5978,1
5974,1
5977,1
5971,2
5972,1
2078,2
1037,19
9964,2
9962,1
5361,1
5492,1
5491,2
6440,8
6445,2
6112,3
6447,1
6110,6
6119,1
6118,3
5366,2
1055,5
1412,1
4369,2
1050,2
12027,1
12026,1
12021,3
12023,1
12028,9
3403,1
3519,3
8870,4
138,4
139,13
132,3
133,2
130,4
131,2
136,3
137,1
135,2
9480,2
9482,3
9485,1
9486,7
7011,1
9488,1
1466,8
1467,2
1464,9
1465,5
1462,1
1463,3
1460,1
7642,1
1468,4
1469,3
5741,2
7643,2
5747,7
5746,1
8612,4
8613,10
8610,3
8611,6
4168,4
4169,2
4160,5
4161,5
4162,5
4163,5
4164,3
4165,1
4166,1
780,3
9862,2
5281,8
5285,1
10661,2
10660,1
10663,4
10669,1
10668,1
2919,3
2918,1
11648,8
11649,13
11644,4
2912,5
11646,6
2910,5
2917,1
11642,1
2914,1
3356,4
3355,2
3917,3
6328,1
6320,2
6321,4
6322,14
6327,1
12238,4
2004,1
2006,1
2003,1
2002,3
12230,1
12231,7
12233,1
12234,1
12235,1
12236,2
